instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
46,3,0.2,0.11854686716503075,0.8814531328349693,5500,5344
46,2,0.5,0.6805555555555556,0.3194444444444444,5500,3486
49,4,0.0,0.0,1.0,5500,5477
47,0,1.0,1.0,0.0,5500,4971
47,3,0.2,0.13316299245350288,0.8668370075464972,5500,4703
50,4,0.0,0.0,1.0,5500,5421
47,1,0.8,1.0,0.0,5500,5224
47,2,0.5,0.7245360321250272,0.27546396787497285,5500,4267
48,0,1.0,1.0,0.0,5500,4949
48,3,0.2,0.14431949022886073,0.8556805097711393,5500,5322
48,1,0.8,1.0,0.0,5500,5191
48,2,0.5,0.6939795268154708,0.30602047318452913,5500,3420
51,4,0.0,0.0,1.0,5500,5330
49,0,1.0,1.0,0.0,5500,5114
49,3,0.2,0.15190120494546563,0.8480987950545343,5500,5498
49,1,0.8,1.0,0.0,5500,3607
49,2,0.5,0.7351586383065055,0.2648413616934945,5500,3277
52,4,0.0,0.0,1.0,5500,5146
50,0,1.0,1.0,0.0,5500,2606
50,3,0.2,0.1359419777438684,0.8640580222561316,5500,5048
50,1,0.8,1.0,0.0,5500,5345
50,2,0.5,0.7146668366324914,0.2853331633675086,5500,3706
53,4,0.0,0.0,1.0,5500,5444
51,3,0.2,0.16914914305945478,0.8308508569405453,5500,5388
51,0,1.0,1.0,0.0,5500,3221
51,1,0.8,1.0,0.0,5500,3255
51,2,0.5,0.543370346178968,0.456629653821032,5500,5443
54,4,0.0,0.0,1.0,5500,4431
52,0,1.0,1.0,0.0,5500,4102
52,3,0.2,0.14044753562240003,0.8595524643776,5500,5432
52,1,0.8,0.9996149826742203,0.00038501732577966006,5500,3343
52,2,0.5,0.7520717884419145,0.2479282115580856,5500,4883
55,4,0.0,0.0,1.0,5500,5132
53,1,0.8,1.0,0.0,5500,5422
53,3,0.2,0.14452610147239076,0.8554738985276092,5500,5235
53,0,1.0,1.0,0.0,5500,4509
53,2,0.5,0.6833653184632654,0.31663468153673463,5500,5279
56,4,0.0,0.0,1.0,5500,5499
54,0,1.0,1.0,0.0,5500,4014
54,1,0.8,1.0,0.0,5500,3585
54,3,0.2,0.13619538687830346,0.8638046131216965,5500,5308
55,3,0.2,0.11376302992442337,0.8862369700755767,5500,4857
54,2,0.5,0.6991305470269872,0.3008694529730128,5500,3365
57,4,0.0,0.0,1.0,5500,5308
55,0,1.0,1.0,0.0,5500,3277
55,1,0.8,1.0,0.0,5500,4696
55,2,0.5,0.7403278033361642,0.25967219666383584,5500,4212
58,4,0.0,0.0,1.0,5500,5301
56,0,1.0,1.0,0.0,5500,2056
56,1,0.8,1.0,0.0,5500,4861
56,3,0.2,0.1468725974604698,0.8531274025395302,5500,5421
56,2,0.5,0.6954510584668213,0.3045489415331787,5500,4883
59,4,0.0,0.0,1.0,5500,3937
57,0,1.0,1.0,0.0,5500,3585
57,3,0.2,0.13554555680539931,0.8644544431946006,5500,5399
57,1,0.8,1.0,0.0,5500,4091
57,2,0.5,0.7414147493171612,0.2585852506828388,5500,3002
58,0,1.0,1.0,0.0,5500,4597
60,4,0.0,0.0,1.0,5500,5246
58,1,0.8,1.0,0.0,5500,5367
58,3,0.2,0.16452997473537892,0.8354700252646211,5500,5378
58,2,0.5,0.7138345803255035,0.2861654196744965,5500,3332
61,4,0.0,0.0,1.0,5500,5234
59,3,0.2,0.16941767692467102,0.830582323075329,5500,5466
59,0,1.0,1.0,0.0,5500,4971
59,1,0.8,1.0,0.0,5500,4927
59,2,0.5,0.6694279826553412,0.33057201734465885,5500,4234
60,0,1.0,1.0,0.0,5500,5466
62,4,0.0,0.0,1.0,5500,5245
60,1,0.8,1.0,0.0,5500,4751
60,2,0.5,0.7413940570020141,0.2586059429979859,5500,4938
60,3,0.2,0.17652564322350772,0.8234743567764923,5500,4652
61,3,0.2,0.16400910027728963,0.8359908997227103,5500,5477
61,0,1.0,1.0,0.0,5500,5477
63,4,0.0,0.0,1.0,5500,5191
61,2,0.5,0.6988924296240835,0.3011075703759165,5500,5125
61,1,0.8,1.0,0.0,5500,4553
64,4,0.0,0.0,1.0,5500,5252
62,0,1.0,1.0,0.0,5500,4036
62,1,0.8,1.0,0.0,5500,4982
62,3,0.2,0.13750529940336473,0.8624947005966352,5500,5389
62,2,0.5,0.6885050625372245,0.31149493746277546,5500,5345
65,4,0.0,0.0,1.0,5500,3629
63,1,0.8,1.0,0.0,5500,5169
63,0,1.0,1.0,0.0,5500,4740
63,3,0.2,0.14808091286307054,0.8519190871369294,5500,5455
63,2,0.5,0.7622115287484044,0.2377884712515956,5500,5158
66,4,0.0,0.0,1.0,5500,4902
64,0,1.0,1.0,0.0,5500,4311
64,3,0.2,0.16077635292370154,0.8392236470762985,5500,3903
64,1,0.8,1.0,0.0,5500,3728
64,2,0.5,0.6819348460938492,0.3180651539061508,5500,2969
65,0,1.0,1.0,0.0,5500,5059
67,4,0.0,0.0,1.0,5500,5124
65,1,0.8,1.0,0.0,5500,5378
65,3,0.2,0.14390909667999746,0.8560909033200026,5500,5488
65,2,0.5,0.7216963910845001,0.2783036089154999,5500,5455
68,4,0.0,0.0,1.0,5500,5081
66,0,1.0,1.0,0.0,5500,2408
66,3,0.2,0.15381503916655156,0.8461849608334484,5500,5145
66,1,0.8,1.0,0.0,5500,4355
66,2,0.5,0.659526575660761,0.34047342433923905,5500,5257
69,4,0.0,0.0,1.0,5500,4748
67,0,1.0,1.0,0.0,5500,5136
67,1,0.8,1.0,0.0,5500,5312
67,3,0.2,0.12553060686788256,0.8744693931321175,5500,5499
67,2,0.5,0.7786272573754003,0.22137274262459974,5500,5345
68,0,1.0,1.0,0.0,5500,5499
70,4,0.0,0.0,1.0,5500,5410
68,1,0.8,1.0,0.0,5500,5488
68,3,0.2,0.12033356954329318,0.8796664304567068,5500,4872
71,4,0.0,0.0,1.0,5500,5464
68,2,0.5,0.7394025656466123,0.2605974343533877,5500,4487
69,3,0.2,0.14495444902034194,0.8550455509796581,5500,5488
69,1,0.8,1.0,0.0,5500,4278
69,0,1.0,1.0,0.0,5500,4652
69,2,0.5,0.6646302812049277,0.33536971879507227,5500,5134
72,4,0.0,0.0,1.0,5500,5286
70,0,1.0,1.0,0.0,5500,4553
70,3,0.2,0.14086269582144587,0.8591373041785542,5500,5421
70,1,0.8,1.0,0.0,5500,5268
70,2,0.5,0.7583555133955296,0.24164448660447038,5500,4619
71,0,1.0,1.0,0.0,5500,4641
73,4,0.0,0.0,1.0,5500,5389
71,1,0.8,1.0,0.0,5500,2595
71,2,0.5,0.7312342465565431,0.2687657534434569,5500,4795
74,4,0.0,0.0,1.0,5500,5362
71,3,0.2,0.19121027395609955,0.8087897260439004,5500,5476
72,3,0.2,0.15690486562814523,0.8430951343718548,5500,5234
72,0,1.0,1.0,0.0,5500,5136
72,1,0.8,1.0,0.0,5500,2815
72,2,0.5,0.6882551356133706,0.31174486438662946,5500,5136
73,0,1.0,1.0,0.0,5500,4300
75,4,0.0,0.0,1.0,5500,5217
73,1,0.8,1.0,0.0,5500,5389
73,3,0.2,0.17494116582186822,0.8250588341781318,5500,3772
73,2,0.5,0.6995841995841996,0.3004158004158004,5500,5499
76,4,0.0,0.0,1.0,5500,4293
74,3,0.2,0.1591718896510882,0.8408281103489118,5500,5311
74,1,0.8,1.0,0.0,5500,5433
74,0,1.0,1.0,0.0,5500,4663
74,2,0.5,0.7056969306520638,0.29430306934793615,5500,5422
75,0,1.0,1.0,0.0,5500,4421
75,3,0.2,0.1448877924305552,0.8551122075694448,5500,5145
77,4,0.0,0.0,1.0,5500,5161
75,1,0.8,1.0,0.0,5500,2859
75,2,0.5,0.6749435769044508,0.3250564230955492,5500,3387
76,0,1.0,1.0,0.0,5500,5378
78,4,0.0,0.0,1.0,5500,4985
76,1,0.8,1.0,0.0,5500,5488
76,2,0.5,0.7462370907492859,0.25376290925071415,5500,4586
76,3,0.2,0.1283875084453119,0.8716124915546881,5500,5058
79,4,0.0,0.0,1.0,5500,4582
77,1,0.8,1.0,0.0,5500,3772
77,0,1.0,1.0,0.0,5500,4355
77,3,0.2,0.15602492708778776,0.8439750729122123,5500,5476
77,2,0.5,0.7058439989239418,0.29415600107605816,5500,4586
